Species,Divison.or.Deep.Rank,Class.or.Higher.Level,Order,Family,Genus,X18S,rbcL,atpA,atpB,psaA,psaB,X,X.1,X.2,lichen.clade,TaxToUse
Acutodesmus_obliquus,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetradesmus,AJ249515,NC_008101,NC_008101,NC_008101,NC_008101,NC_008101,,,,0,Chlorophyceae
Ostreococcus_tauri,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,GQ426346,NC_008289,NC_008289,NC_008289,NC_008289,NC_008289,,,,0,Mamiellophyceae
Nephroselmis_olivacea,Chlorophyta,Nephroselmidophyceae,,,Nephroselmis,FN562436,NC_000927,NC_000927,NC_000927,NC_000927,NC_000927,,,,0,Nephroselmidophyceae
Marsupiomonas_spp,Chlorophyta,Pedinophyceae,Marsupiomonadales,Marsupiomonadaceae,Marsupiomonas,JN592592,KM462870,KM462870,KM462870,KM462870,KM462870,NIES 1824,Pedinophyceae,18s from different isolate,0,Pedinophyceae
Pedinomonas_minor,Chlorophyta,Pedinophyceae,Pedinomonadales,Pedinomonadaceae,Pedinomonas,JN592588,NC_016733,NC_016733,NC_016733,NC_016733,NC_016733,,,,0,Pedinophyceae
Monomastix_sp_OKE-1,Chlorophyta,Prasinophyceae,Monomastigales,Monomastigaceae,Monomastix,FJ493496,NC_012101,NC_012101,NC_012101,NC_012101,NC_012101,,,,0,Prasinophyceae
Dictyochloropsis_irregularis,Chlorophyta,Trebouxiophyceae,--,--,Dictyochloropsis,GU017659,JF502553,NA,NA,NA,NA,SAG 2036,--,,1,Dictyochloropsis
Dictyochloropsis_sp_MPN124,Chlorophyta,Trebouxiophyceae,--,--,Dictyochloropsis,KC333485,KC333595,NA,NA,NA,NA,MPN124,photobiont of Brigantiaea leucoxantha,,1,Dictyochloropsis
Dictyochloropsis_sp_MPN168,Chlorophyta,Trebouxiophyceae,--,--,Dictyochloropsis,KC333487,KC333582,NA,NA,NA,NA,MPN168,photobiont of Lobariella sp,,1,Dictyochloropsis
Dictyochloropsis_sp_MPN181,Chlorophyta,Trebouxiophyceae,--,--,Dictyochloropsis,NA,JN573841,NA,NA,NA,NA,MPN181,photobiont of Lobaria pulmonaria,,1,Dictyochloropsis
Dictyochloropsis_splendida,Chlorophyta,Trebouxiophyceae,--,--,Dictyochloropsis,GU017665,EF113435,NA,NA,NA,NA,UTEX LB 2599,photobiont of Phlyctis argena,,1,Dictyochloropsis
Dictyochloropsis_symbiontica_CAUP,Chlorophyta,Trebouxiophyceae,--,--,Dictyochloropsis,KC333473,KC333602,NA,NA,NA,NA,CAUP H8603,free-living,,1,Dictyochloropsis
Dictyochloropsis_symbiontica_SAG,Chlorophyta,Trebouxiophyceae,--,--,Dictyochloropsis,GU017644,JF502552,NA,NA,NA,NA,SAG 27.81,?Chaenothecopsis?,,1,Dictyochloropsis
Chlorella_variabilis,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,AB260893,NC_015359,NC_015359,NC_015359,NC_015359,NC_015359,,,,0,
Chlorella_vulgaris,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,AB178085,NC_001865,NC_001865,NC_001865,NC_001865,NC_001865,,,,0,
Marvania_geminata,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Marvania,AF124336,NC_025549,NC_025549,NC_025549,NC_025549,NC_025549,SAG 12.88,,,0,
Pseudochlorella_pringsheimii,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Pseudochlorella,KM020138,KM438438,KM438434,EU380549,KM438435,EU380576,UTEX 20; CAUP H 1990; SAG 211-1a,,,0,
Oocystis_solitaria,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae,Oocystis,AF228686,FJ968739,FJ968739,FJ968739,FJ968739,FJ968739,,,,0,
Parachlorella_kessleri,Chlorophyta,Trebouxiophyceae,Chlorellales,,Parachlorella,AB488602,NC_012978,NC_012978,NC_012978,NC_012978,NC_012978,,,,0,
Elliptochloris_bilobata,Chlorophyta,Trebouxiophyceae,Microthamniales,,Elliptochloris,AM422984,NC_025548,NC_025548,NC_025548,NC_025548,NC_025548,CAUP H 7103,,,1,Elliptochloris
Microthamnion_kuetzingianum,Chlorophyta,Trebouxiophyceae,Microthamniales,,Microthamnion,AB488588,NC_025537,NC_025537,NC_025537,NC_025537,NC_025537,UTEX 318,,18s from different isolate,0,
Symbiochloris_handae,Chlorophyta,Trebouxiophyceae,Microthamniales,,Symbiochloris,Z47207,NC_025524,NC_025524,NC_025524,NC_025524,NC_025524,SAG 2150,,18s is from CCHU 5616 which is same as SAG 2150,1,Symbiochloris
Diplosphaera_sp_AA53935,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Diplosphaera,JN573890,JN573824,NA,NA,NA,NA,AA53935 (DUKE) ,photobiont of Staurothele frustulenta,,1,Diplosphaera
Diplosphaera_sp_CG601,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Diplosphaera,NA,JN573825,NA,NA,NA,NA,CG601,--,,1,Diplosphaera
Diplosphaera_sp_L532,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Diplosphaera,NA,JN573852,NA,NA,NA,NA,L532,--,,1,Diplosphaera
Diplosphaera_sp_MPN177,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Diplosphaera,NA,NA,NA,NA,NA,NA,MPN177,photobiont of Normandina pulchella,,1,Diplosphaera
Diplosphaera_sp_MPN178,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Diplosphaera,NA,JN573842,NA,NA,NA,NA,MPN178,photobiont of Dermatocarpon luridum,,1,Diplosphaera
Diplosphaera_sp_MPN505,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Diplosphaera,NA,NA,NA,NA,NA,NA,MPN505,photobiont of Dermatocarpon,,1,Diplosphaera
Stichococcus_bacillaris,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Stichococcus,AJ311637,AM260442,NA,NA,NA,NA,SAG 379-1b,water reservoir,,0,
Pabia_signiensis,Chlorophyta,Trebouxiophyceae,Prasiolales,,Pabia,AJ416108,NC_025529,NC_025529,NC_025529,NC_025529,NC_025529,SAG 7.90,,,0,
Asterochloris_excentrica,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,NA,AJ969629,NA,NA,NA,NA,IB 345,from Stereocaulon dactylophyllum var. occidentale,,1,Asterochloris
Asterochloris_magna,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,Z21552,AJ969630,NA,NA,NA,NA,"IB 354, UTEX 902",from Pilophorus acicularis,,1,Asterochloris
Asterochloris_phycobiontica,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,GU017647,JF502538,NA,NA,NA,NA,SAG 26.81,from Anzina carneonivea,,1,Asterochloris
Asterochloris_sp_Armaleo_sn,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,JN573863,JN573844,NA,NA,NA,NA,Armaleo s. n. (DUKE),photobiont of Cladonia grayi,,1,Asterochloris
Asterochloris_sp_CG572,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,JN573891,JN573806,NA,NA,NA,NA,CG572 (DUKE),photobiont of Bagliettoa cazzae,,1,Asterochloris
Asterochloris_sp_MPN730,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,NA,NA,NA,NA,NA,NA,MPN730,photobiont of Pilophorus cereolus,,1,Asterochloris
Asterochloris_erici,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,KP318692,AJ969631,NA,EF530541,NA,NA,SAG 32.85,,,1,Asterochloris
Asterochloris_sp_CAUP_H_1020,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,NA,KM438404,KM438402,NA,NA,NA,CAUP H 1020,,,1,Asterochloris
Myrmecia_biatorellae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Myrmecia,AY095367,AF499685,NA,NA,NA,NA,SAG 8.82,photobiont of Lobaria linita,,1,Myrmecia
Myrmecia_astigmatica,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Myrmecia,Z47208,NA,NA,NA,NA,NA,IB T76,--,,1,Myrmecia
Myrmecia_sp_OB14461,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Myrmecia,JN573892,JN573811,NA,NA,NA,NA,OB14.461 (LI) ,photobiont of Placidium umbrinum,,1,Myrmecia
Myrmecia_sp_SH2018,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Myrmecia,JN573893,JN573809,NA,NA,NA,NA,SH2018 (DUKE) ,photobiont of Placidium lachneum,,1,Myrmecia
Myrmecia_israelensis,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Myrmecia,M62995,NC_025525,NC_025525,NC_025525,NC_025525,NC_025525,UTEX 1181,,not sure if 18s is same isolate as cp,1,Myrmecia
Trebouxia_aggregata,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,EU123942,EU123967,EU123982,EU123988,EU123975,EU123975,,,,1,Trebouxia
Trebouxia_arboricola,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Z68705,AM158960,NA,NA,NA,NA,SAG 219-1a,free-living? Beck et al. 1998 cite Gartner 1985 as possibly suggesting this was free-living.,,1,Trebouxia
Trebouxia_impressa,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Z21551,NA,NA,NA,NA,NA,UTEX 892,from Physcia stellaris,,1,Trebouxia
Trebouxia_jamesii,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,NA,AJ969663,NA,NA,NA,NA,"IB 336, UTEX 2233",from Schaereria tenebrosa (now Schaereria fuscocinerea?),,1,Trebouxia
Trebouxia_sp_CU296e,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,NA,EF589153,NA,EU380548,NA,NA,CU296e,--,,1,Trebouxia
Trebouxia_sp_MPN511,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,NA,NA,NA,NA,NA,NA,MPN511,photobiont of Pertusaria,,1,Trebouxia
Trebouxia_sp_MPN663,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,NA,NA,NA,NA,NA,NA,MPN663,photobiont of Usnea longissima,,1,Trebouxia
Trebouxia_sp_MPN676,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,NA,NA,NA,NA,NA,NA,MPN676,photobiont of Thamnolia subuliformis,,1,Trebouxia
Trebouxia_usneae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Z68702,NA,NA,NA,NA,NA,UBT-87.019A1,from Parmotrema tinctorum,,1,Trebouxia
Vulcanochloris_canariensis,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Vulcanochloris,KR952315,KR952311,NA,NA,NA,NA,L1620,,,1,Vulcanochloris
Vulcanochloris_guanchorum,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Vulcanochloris,KR952316,KR952313,NA,NA,NA,NA,A104,,,1,Vulcanochloris
Coccomyxa_subellipsoidea_C-169,Chlorophyta,Trebouxiophyceae,,Coccomyxaceae,Coccomyxa,NA,NC_015084,NC_015084,NC_015084,NC_015084,NC_015084,,,,1,Coccomyxa
Coccomyxa_simplex,Chlorophyta,Trebouxiophyceae,,Coccomyxaceae,Coccomyxa,HE586504,KM438443,KM438440,NA,NA,NA,CAUP H 102,,,1,Coccomyxa
Heterochlorella_luteoviridis,Chlorophyta,Trebouxiophyceae,,,Heterochlorella,X73998,KX235255,NA,NA,NA,NA,SAG 211-2A,,,0,Heterochlorella
Heveochlorella_hainangensis,Chlorophyta,Trebouxiophyceae,,,Heveochlorella,KX235244,KR154341,NA,NA,NA,NA,,,,1,Heveochlorella
Heveochlorella_sp_W12-14,Chlorophyta,Trebouxiophyceae,,,Heveochlorella,KX235248,KX235278,NA,NA,NA,NA,,,,1,Heveochlorella
Planctonema_lauterbornii,Chlorophyta,Trebouxiophyceae,,,Planctonema,NA,NC_025541,NC_025541,NC_025541,NC_025541,NC_025541,SAG 68.94,,,0,
