edited_name,lichen,Class,Order,Family,Genus,Species
Natipusilla_decorospora,0,Dothideomycetes,Natipusillales,Natipusillaceae,Natipusilla,decorospora
Nectria_cinnabarina,0,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,cinnabarina
Nectria_haematococca,0,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,haematococca
Neofabraea_malicorticis,0,Leotiomycetes,,,Neofabraea,malicorticis
Neolecta_vitellina,0,Taphrinomycotina,Neolectales,Neolectaceae,Neolecta,vitellina
Neomicrothyrium_siamense,0,Dothideomycetes,Incertae Sedis,Incertae Sedis,Neomicrothyrium,siamense
Nephroma_parile,1,Lecanoromycetes,Peltigerales,Nephromataceae,Nephroma,parile
Ochrolechia_yasudae,1,Lecanoromycetes,Agyriales,Ochrolechiaceae,Ochrolechia,yasudae
Ophiocordyceps_sinensis,0,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,sinensis
Ophionectria_trichospora,0,Sordariomycetes,Hypocreales,Nectriaceae,Ophionectria,trichospora
Ophiostoma_piliferum,0,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,piliferum
Orbilia_auricolor,0,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,auricolor
Orceolina_kerguelensis,1,Lecanoromycetes,Baeomycetales,Trapeliaceae,Orceolina,kerguelensis
Ostreichnion_curtisii,0,Dothideomycetes,Hysteriales,Hysteriaceae,Ostreichnion,curtisii
Papulosa_amerospora,0,Sordariomycetes,Incertae sedis,Papulosaceae,Papulosa,amerospora
Parmelia_saxatilis,1,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmelia,saxatilis
Patellaria_atrata,0,Dothideomycetes,Patellariales,Patellariaceae,Patellaria,atrata
Peltigera_degenii,1,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,degenii
Peltigera_membranacea,1,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,membranacea
