"","loglik.1Rate","AIC.1Rate","AICc.1Rate","rate.cat.1Rate","solution1to0.1Rate","solution0to1.1Rate","index.mat1to0.1Rate","index.mat0to1.1Rate","iterations.1Rate","eigval.1Rate","eigvect.1Rate","loglik.2Rate","AIC.2Rate","AICc.2Rate","rate.cat.2Rate","solution1R1to0R1.2Rate","solution0R2to0R1.2Rate","solution0R1to1R1.2Rate","solution1R2to1R1.2Rate","solution0R1to0R2.2Rate","solution1R2to0R2.2Rate","solution1R1to1R2.2Rate","solution0R2to1R2.2Rate","index.mat1R1to0R1.2Rate","index.mat0R2to0R1.2Rate","index.mat0R1to1R1.2Rate","index.mat1R2to1R1.2Rate","index.mat0R1to0R2.2Rate","index.mat1R2to0R2.2Rate","index.mat1R1to1R2.2Rate","index.mat0R2to1R2.2Rate","iterations.2Rate","eigval.2Rate","eigvect.2Rate","Best"
"451",-84.2525139605995,172.505027921199,172.545161700463,1,0.000707854781282896,0.0006191872006975,1,2,NA,NA,NA,-74.2757440541258,164.551488108252,165.042955685043,2,0.0340349968647841,0.00620614174061929,2.06115362243856e-09,0.00081064524931555,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00390831816852618,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"452",-78.9296224619056,161.859244923811,161.899378703075,1,0.00101471015510833,0.00038965476770779,1,2,NA,NA,NA,-71.2475715926427,158.495143185285,158.986610762077,2,0.0417963752810121,0.00694714858060417,2.06115362243856e-09,0.000764284531240621,2.19416775913537e-05,2.06115362243856e-09,2.06115362243856e-09,0.00356092976710269,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"453",-84.783639295386,173.567278590772,173.607412370036,1,0.00117081126085149,0.000420757549163214,1,2,NA,NA,NA,-78.0283073268236,172.056614653647,172.548082230439,2,0.000551366288263193,0.0069512262785064,2.06115362243856e-09,0.00852177351095179,2.06115362243856e-09,0.00840307114108571,2.06115362243856e-09,0.00310946136779946,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"454",-84.5855779949536,173.171155989907,173.211289769171,1,0.00080738350034831,0.000526415519994394,1,2,NA,NA,NA,-72.767892856648,161.535785713296,162.027253290088,2,2.06115362243856e-09,0.00763547493962182,2.06115362243856e-09,0.00964599063621105,2.06115362243856e-09,0.00450600746138637,2.06115362243856e-09,0.00428890336527768,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"455",-81.2896473273191,166.579294654638,166.619428433902,1,0.0011558977665504,0.000330131389033914,1,2,NA,NA,NA,-72.2944425991062,160.588885198212,161.080352775004,2,0.00334889365594548,0.0080240650783199,2.06115362243856e-09,0.00169086485552145,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.00350507206133917,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"456",-78.0034474068131,160.006894813626,160.04702859289,1,0.00111234965850176,0.000355796248788476,1,2,NA,NA,NA,-72.3965632035989,160.793126407198,161.28459398399,2,2.06115362243856e-09,0.00738688258586158,2.06115362243856e-09,0.00834495100361622,2.06115362243856e-09,0.00756922229398624,0.00175311738880779,0.00229512395334289,1,2,3,4,5,6,7,8,NA,NA,NA,"1Rate"
"457",-80.2700814618695,164.540162923739,164.580296703003,1,0.00114457823635392,0.000321780947866397,1,2,NA,NA,NA,-70.8569276255306,157.713855251061,158.205322827853,2,0.000416393268188522,0.0105822963910478,2.06115362243856e-09,0.00738099567216499,2.06115362243856e-09,0.010152873434031,2.06115362243856e-09,0.00437403671593905,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"458",-77.4079629431998,158.8159258864,158.856059665664,1,0.00103570821903593,0.000356235278211283,1,2,NA,NA,NA,-70.7037559976674,157.407511995335,157.898979572127,2,0.000416441232142525,0.0108337385331724,2.06115362243856e-09,0.00644084203302703,0.000324775640861795,0.00824368221506113,2.06115362243856e-09,0.00382816234306816,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"459",-83.1853689709803,170.370737941961,170.410871721225,1,0.00125265057515237,0.00031029486251108,1,2,NA,NA,NA,-74.4936306014678,164.987261202936,165.478728779727,2,2.06115362243856e-09,0.009866168975132,2.06115362243856e-09,0.00833473038170883,2.06115362243856e-09,0.0106181023723171,0.00113234084526032,0.00338864056208406,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"460",-80.1730510902063,164.346102180413,164.386235959677,1,0.000950050401712305,0.000393122847372746,1,2,NA,NA,NA,-70.8284315689364,157.656863137873,158.148330714665,2,0.00368804255354766,0.00899034116487022,2.06115362243856e-09,0.00211726006013611,0.000137522562056352,2.06115362243856e-09,2.06115362243856e-09,0.00369850009892249,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"461",-82.6060805886733,169.212161177347,169.252294956611,1,0.00117153286379598,0.000389408863054271,1,2,NA,NA,NA,-75.9176068581288,167.835213716258,168.326681293049,2,0.000561769930656679,0.00801154215562546,2.06115362243856e-09,0.0102987720888981,2.06115362243856e-09,0.009932267016872,2.06115362243856e-09,0.00348082611461525,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"462",-85.1268604694152,174.25372093883,174.293854718095,1,0.000670713675711116,0.000658760388815874,1,2,NA,NA,NA,-73.8334050442556,163.666810088511,164.158277665303,2,0.000396615167606326,0.012264596282343,2.06115362243856e-09,0.00440198318197677,2.06115362243856e-09,0.00801454482440704,2.06115362243856e-09,0.00439874431057831,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
"463",-85.4103654615402,174.82073092308,174.860864702345,1,0.000646202551055865,0.00059523275535954,1,2,NA,NA,NA,-74.2025370089998,164.405074018,164.896541594792,2,2.06115362243856e-09,0.00636640494782728,2.06115362243856e-09,0.00777530854768657,2.06118313161103e-09,0.00253508853787874,2.06115362243856e-09,0.00397619212877878,1,2,3,4,5,6,7,8,NA,NA,NA,"2Rate"
